Locations,Total cases,Reported deaths,Discharged cases
Mainland China,80703,3098,57333
South Korea,7313,50,130
Iran,6566,194,2134
Itay,5883,233,589
Germany,951,0,18
France,949,16,12
Diamond Princess,696,7,245
Spain,613,17,30
Japan,502,6,76
United States,447,19,15
Switzerland,337,2,3
United Kingdom,273,2,18
Netherlands,265,3,0
Sweden,203,0,1
Belgium,200,0,1
Norway,159,0,1
Singapore,150,0,90
Hong Kong,114,3,59
Austria,104,0,2
Malaysia,99,0,24
Bahrain,85,0,6
Australia,80,3,22
Greece,73,0,0
Kuwait,64,0,1
Canada,61,0,8
Iceland,55,0,1
Iraq,54,4,1
Thailand,50,1,31
Egypt,48,0,1
Taiwan,45,1,15
UAE,45,0,7
India,40,0,3
San Marino,36,1,0
Denmark,35,0,1
Czech Republic,31,0,0
Vietnam,30,0,16
Lebanon,28,0,1
Portugal,28,0,0
Israel,25,0,3
Finland,23,0,1
Algeria,20,0,0
Brazil,19,0,0
Ireland,19,0,0
Palestine,19,0,0
Oman,16,0,2
Slovenia,16,0,0
Russia,15,0,3
Ecuador,14,0,0
Romania,14,0,4
Georgia,13,0,0
Croatia,12,0,0
Qatar,12,0,0
Saudi Arabia,11,0,1
Macau,10,0,10
Estonia,10,0,0
Philippines,10,1,2
Argentina,9,1,0
Azerbaijan,9,0,0
Poland,8,0,0
Mexico,7,0,1
Chile,7,0,0
Hungary,7,0,0
Belarus,6,0,0
Indonesia,6,0,0
Pakistan,6,0,1
Peru,6,0,0
New Zealand,5,0,0
Costa Rica,5,0,0
French Guiana,5,0,0
Afghanistan,4,0,0
Luxembourg,4,0,0
Senegal,4,0,1
Bulagaria,4,0,0
North Macedonia,3,0,0
Bangladesh,3,0,0
Bosnia and Herzegovina,3,0,0
Malta,3,0,0
Slovakia,3,0,0
South Africa,3,0,0
Cambodia,2,0,1
Dominican Republic,2,0,0
Latvia,2,0,1
Morocco,2,0,0
Cameroon,2,0,0
Faeroe Islands,2,0,0
Maldives,2,0,0
Andorra,2,0,0
Armenia,1,0,0
Jordan,1,0,0
Lithuania,1,0,0
Monaco,1,0,0
Nepal,1,0,1
Nigeria,1,0,0
Sri Lanka,1,0,1
Tunisia,1,0,0
Ukraine,1,0,0
Bhutan,1,0,0
Colombia,1,0,0
Gibraltar,1,0,0
Vatican City,1,0,0
Liechtenstein,1,0,0
Moldova,1,0,0
Paraguay,1,0,0
Serbia,1,0,0
Togo,1,0,0
